GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Median value (dollars),Margin of Error; Median value (dollars)
1400000US53033027100,53033027100,"Census Tract 271, King County, Washington",269500,13851
1400000US53033027200,53033027200,"Census Tract 272, King County, Washington",296500,43876
1400000US53033027300,53033027300,"Census Tract 273, King County, Washington",253500,14757
1400000US53033027400,53033027400,"Census Tract 274, King County, Washington",291700,16927
1400000US53033027500,53033027500,"Census Tract 275, King County, Washington",262400,15806
1400000US53033027600,53033027600,"Census Tract 276, King County, Washington",467900,43896
1400000US53033027701,53033027701,"Census Tract 277.01, King County, Washington",480800,44700
1400000US53033027702,53033027702,"Census Tract 277.02, King County, Washington",421000,87406
1400000US53033027800,53033027800,"Census Tract 278, King County, Washington",440700,33582
1400000US53033027900,53033027900,"Census Tract 279, King County, Washington",326700,21812
1400000US53033028000,53033028000,"Census Tract 280, King County, Washington",245500,43148
1400000US53033028100,53033028100,"Census Tract 281, King County, Washington",278300,24025
1400000US53033028200,53033028200,"Census Tract 282, King County, Washington",241100,28345
1400000US53033028300,53033028300,"Census Tract 283, King County, Washington",312500,18061
1400000US53033028402,53033028402,"Census Tract 284.02, King County, Washington",264800,16040
1400000US53033028403,53033028403,"Census Tract 284.03, King County, Washington",179500,83815
1400000US53033028500,53033028500,"Census Tract 285, King County, Washington",303500,19900
1400000US53033028600,53033028600,"Census Tract 286, King County, Washington",507900,42898
1400000US53033028700,53033028700,"Census Tract 287, King County, Washington",311000,20292
1400000US53033028801,53033028801,"Census Tract 288.01, King County, Washington",270400,16739
1400000US53033028802,53033028802,"Census Tract 288.02, King County, Washington",290300,30462
1400000US53033028901,53033028901,"Census Tract 289.01, King County, Washington",312400,48624
1400000US53033028902,53033028902,"Census Tract 289.02, King County, Washington",265000,23697
1400000US53033029001,53033029001,"Census Tract 290.01, King County, Washington",303200,27494
1400000US53033029003,53033029003,"Census Tract 290.03, King County, Washington",257400,17104
1400000US53033029004,53033029004,"Census Tract 290.04, King County, Washington",165200,19025
1400000US53033029101,53033029101,"Census Tract 291.01, King County, Washington",270900,15004
1400000US53033029102,53033029102,"Census Tract 291.02, King County, Washington",271400,22380
1400000US53033029203,53033029203,"Census Tract 292.03, King County, Washington",217500,97526
1400000US53033029204,53033029204,"Census Tract 292.04, King County, Washington",330100,32219
1400000US53033029205,53033029205,"Census Tract 292.05, King County, Washington",205300,19122
1400000US53033029206,53033029206,"Census Tract 292.06, King County, Washington",-,**
1400000US53033029303,53033029303,"Census Tract 293.03, King County, Washington",308600,27170
1400000US53033029304,53033029304,"Census Tract 293.04, King County, Washington",347600,15383
1400000US53033029305,53033029305,"Census Tract 293.05, King County, Washington",342200,18735
1400000US53033029306,53033029306,"Census Tract 293.06, King County, Washington",264500,45582
1400000US53033029307,53033029307,"Census Tract 293.07, King County, Washington",324300,14278
1400000US53033029403,53033029403,"Census Tract 294.03, King County, Washington",284200,12207
