GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - White alone,Margin of Error; Total: - White alone,Estimate; Total: - Black or African American alone,Margin of Error; Total: - Black or African American alone,Estimate; Total: - American Indian and Alaska Native alone,Margin of Error; Total: - American Indian and Alaska Native alone,Estimate; Total: - Asian alone,Margin of Error; Total: - Asian alone,Estimate; Total: - Native Hawaiian and Other Pacific Islander alone,Margin of Error; Total: - Native Hawaiian and Other Pacific Islander alone,Estimate; Total: - Some other race alone,Margin of Error; Total: - Some other race alone,Estimate; Total: - Two or more races:,Margin of Error; Total: - Two or more races:,Estimate; Total: - Two or more races: - Two races including Some other race,Margin of Error; Total: - Two or more races: - Two races including Some other race,"Estimate; Total: - Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Total: - Two or more races: - Two races excluding Some other race, and three or more races"
1400000US53033025804,53033025804,"Census Tract 258.04, King County, Washington",3628,333,2169,383,278,210,0,12,561,302,16,23,322,257,282,193,0,12,282,193
1400000US53033025805,53033025805,"Census Tract 258.05, King County, Washington",5084,418,2266,500,475,197,29,33,1273,354,119,173,446,186,476,236,116,112,360,202
1400000US53033025806,53033025806,"Census Tract 258.06, King County, Washington",5086,328,1826,282,879,220,47,37,1543,281,224,230,8,12,559,291,25,40,534,287
1400000US53033026001,53033026001,"Census Tract 260.01, King County, Washington",5950,490,2085,323,1277,268,24,37,1960,336,0,17,276,189,328,187,128,154,200,107
1400000US53033026002,53033026002,"Census Tract 260.02, King County, Washington",8590,716,2573,564,2226,711,1,3,2585,664,4,10,54,43,1147,545,47,54,1100,548
1400000US53033026100,53033026100,"Census Tract 261, King County, Washington",8310,868,1956,394,2278,530,43,41,2620,408,73,115,869,777,471,270,13,22,458,264
1400000US53033026200,53033026200,"Census Tract 262, King County, Washington",5608,445,2666,493,659,247,91,123,897,318,17,36,359,321,919,489,78,100,841,459
1400000US53033026300,53033026300,"Census Tract 263, King County, Washington",1641,149,320,103,222,129,0,12,530,170,226,118,37,52,306,136,39,21,267,124
1400000US53033026400,53033026400,"Census Tract 264, King County, Washington",6174,591,3092,564,712,290,63,51,724,351,193,237,712,378,678,331,143,200,535,286
1400000US53033026500,53033026500,"Census Tract 265, King County, Washington",4236,469,1431,193,815,279,8,16,844,309,110,148,266,172,762,472,222,324,540,389
1400000US53033026600,53033026600,"Census Tract 266, King County, Washington",2633,260,1531,265,225,159,29,39,388,121,7,11,188,119,265,115,6,9,259,115
1400000US53033026700,53033026700,"Census Tract 267, King County, Washington",5251,394,3380,400,150,180,193,197,466,240,268,312,437,439,357,220,0,17,357,220
1400000US53033026801,53033026801,"Census Tract 268.01, King County, Washington",5825,659,2171,573,559,513,124,92,1036,358,384,295,899,426,652,335,198,151,454,284
1400000US53033026802,53033026802,"Census Tract 268.02, King County, Washington",5155,554,2561,407,501,248,5,13,1023,270,277,206,548,274,240,143,39,37,201,129
1400000US53033027000,53033027000,"Census Tract 270, King County, Washington",3246,298,1929,273,121,77,81,118,623,217,25,31,333,254,134,80,63,74,71,44
1400000US53033027100,53033027100,"Census Tract 271, King County, Washington",3448,413,2366,440,403,236,8,14,232,281,62,71,268,267,109,61,5,11,104,60
1400000US53033027200,53033027200,"Census Tract 272, King County, Washington",2608,200,997,181,307,84,4,8,527,132,38,38,426,194,309,165,0,12,309,165
1400000US53033027300,53033027300,"Census Tract 273, King County, Washington",5846,377,2384,478,627,198,104,92,1839,420,0,17,489,263,403,180,58,53,345,170
1400000US53033027400,53033027400,"Census Tract 274, King County, Washington",4973,367,2751,333,203,104,11,19,1184,279,27,27,420,248,377,132,110,109,267,106
