GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Owner occupied,Margin of Error; Total: - Owner occupied,Estimate; Total: - Renter occupied,Margin of Error; Total: - Renter occupied
1400000US53033009702,53033009702,"Census Tract 97.02, King County, Washington",2358,93,2064,140,294,105
1400000US53033009800,53033009800,"Census Tract 98, King County, Washington",3127,121,2216,192,911,168
1400000US53033009900,53033009900,"Census Tract 99, King County, Washington",2858,148,1478,178,1380,189
1400000US53033010001,53033010001,"Census Tract 100.01, King County, Washington",1539,90,809,115,730,130
1400000US53033010002,53033010002,"Census Tract 100.02, King County, Washington",1859,85,895,123,964,124
1400000US53033010100,53033010100,"Census Tract 101, King County, Washington",3105,136,1740,223,1365,206
1400000US53033010200,53033010200,"Census Tract 102, King County, Washington",1954,89,1494,104,460,113
1400000US53033010300,53033010300,"Census Tract 103, King County, Washington",2793,110,1289,162,1504,183
1400000US53033010401,53033010401,"Census Tract 104.01, King County, Washington",1493,75,1106,108,387,98
1400000US53033010402,53033010402,"Census Tract 104.02, King County, Washington",1730,72,1231,131,499,111
1400000US53033010500,53033010500,"Census Tract 105, King County, Washington",3963,209,1715,194,2248,248
1400000US53033010600,53033010600,"Census Tract 106, King County, Washington",3744,161,2425,188,1319,208
1400000US53033010701,53033010701,"Census Tract 107.01, King County, Washington",1478,91,633,96,845,120
1400000US53033010702,53033010702,"Census Tract 107.02, King County, Washington",1547,81,575,97,972,105
1400000US53033010800,53033010800,"Census Tract 108, King County, Washington",1861,53,1298,116,563,116
1400000US53033010900,53033010900,"Census Tract 109, King County, Washington",620,38,299,50,321,63
1400000US53033011001,53033011001,"Census Tract 110.01, King County, Washington",1666,83,576,101,1090,114
1400000US53033011002,53033011002,"Census Tract 110.02, King County, Washington",1349,41,760,79,589,81
1400000US53033011101,53033011101,"Census Tract 111.01, King County, Washington",1875,82,957,113,918,121
1400000US53033011102,53033011102,"Census Tract 111.02, King County, Washington",1486,131,802,89,684,109
1400000US53033011200,53033011200,"Census Tract 112, King County, Washington",1413,94,561,115,852,122
1400000US53033011300,53033011300,"Census Tract 113, King County, Washington",3012,107,1369,186,1643,209
1400000US53033011401,53033011401,"Census Tract 114.01, King County, Washington",1741,87,895,110,846,103
1400000US53033011402,53033011402,"Census Tract 114.02, King County, Washington",1993,62,907,128,1086,126
1400000US53033011500,53033011500,"Census Tract 115, King County, Washington",1981,79,1423,106,558,101
1400000US53033011600,53033011600,"Census Tract 116, King County, Washington",3079,139,2210,176,869,166
