GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; White alone,Margin of Error; White alone,Estimate; Black or African American alone,Margin of Error; Black or African American alone,Estimate; American Indian and Alaska Native alone,Margin of Error; American Indian and Alaska Native alone,Estimate; Asian alone,Margin of Error; Asian alone,Estimate; Native Hawaiian and Other Pacific Islander alone,Margin of Error; Native Hawaiian and Other Pacific Islander alone,Estimate; Some other race alone,Margin of Error; Some other race alone,Estimate; Two or more races:,Margin of Error; Two or more races:,Estimate; Two or more races: - Two races including Some other race,Margin of Error; Two or more races: - Two races including Some other race,"Estimate; Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Two or more races: - Two races excluding Some other race, and three or more races"
1400000US53033026001,53033026001,"Census Tract 260.01, King County, Washington",5201,456,2037,242,1098,339,38,33,1320,309,0,119,481,455,227,126,11,17,216,129
1400000US53033026002,53033026002,"Census Tract 260.02, King County, Washington",6419,672,2196,531,1954,677,62,76,1249,279,0,119,316,357,642,326,141,219,501,256
1400000US53033026100,53033026100,"Census Tract 261, King County, Washington",6242,774,1868,288,1732,435,80,115,1893,450,44,58,351,330,274,147,20,31,254,141
1400000US53033026200,53033026200,"Census Tract 262, King County, Washington",5119,511,2809,594,656,371,35,42,947,331,157,211,212,147,303,142,88,98,215,120
1400000US53033026300,53033026300,"Census Tract 263, King County, Washington",1209,159,563,146,96,64,0,119,508,225,0,119,0,119,42,38,14,21,28,32
1400000US53033026400,53033026400,"Census Tract 264, King County, Washington",6598,2397,4626,1903,599,411,265,261,407,220,180,158,202,161,319,286,31,49,288,273
1400000US53033026500,53033026500,"Census Tract 265, King County, Washington",1642,407,517,219,315,291,0,119,685,245,0,119,106,142,19,31,0,119,19,31
1400000US53033026600,53033026600,"Census Tract 266, King County, Washington",2571,221,1440,267,86,102,0,119,557,230,49,71,329,216,110,114,13,22,97,95
1400000US53033026700,53033026700,"Census Tract 267, King County, Washington",5435,405,4305,429,146,155,90,66,569,203,72,120,108,145,145,121,0,119,145,121
1400000US53033026801,53033026801,"Census Tract 268.01, King County, Washington",4486,527,2397,410,600,227,13,20,903,285,119,220,384,292,70,59,8,15,62,53
1400000US53033026802,53033026802,"Census Tract 268.02, King County, Washington",5047,352,2609,454,906,476,27,28,1176,201,137,145,74,67,118,83,18,27,100,70
1400000US53033026900,53033026900,"Census Tract 269, King County, Washington",1633,159,943,162,20,23,165,175,264,144,25,40,0,119,216,146,0,119,216,146
1400000US53033027000,53033027000,"Census Tract 270, King County, Washington",3123,336,2076,383,46,49,0,119,355,226,0,119,377,238,269,139,32,46,237,135
1400000US53033027100,53033027100,"Census Tract 271, King County, Washington",3147,384,1869,371,215,150,132,135,362,229,0,119,497,265,72,59,9,17,63,57
1400000US53033027200,53033027200,"Census Tract 272, King County, Washington",2061,317,1158,238,151,169,0,119,620,205,0,119,69,95,63,79,9,17,54,81
1400000US53033027300,53033027300,"Census Tract 273, King County, Washington",5857,435,3290,408,682,207,148,102,677,340,224,208,697,411,139,100,20,25,119,98
1400000US53033027400,53033027400,"Census Tract 274, King County, Washington",4726,551,2701,414,416,295,46,59,512,272,158,124,616,501,277,211,19,31,258,211
1400000US53033027500,53033027500,"Census Tract 275, King County, Washington",4257,403,3037,311,159,108,47,43,601,172,0,119,257,238,156,136,29,50,127,124
1400000US53033027600,53033027600,"Census Tract 276, King County, Washington",3911,435,2667,341,244,115,104,92,187,164,0,119,483,357,226,152,0,119,226,152
1400000US53033027701,53033027701,"Census Tract 277.01, King County, Washington",5278,446,5009,443,46,72,16,20,94,59,56,89,5,11,52,48,0,119,52,48
1400000US53033027702,53033027702,"Census Tract 277.02, King County, Washington",5147,471,4958,466,24,28,13,18,57,44,0,119,13,19,82,74,36,59,46,38
1400000US53033027800,53033027800,"Census Tract 278, King County, Washington",3443,226,3344,238,0,119,18,21,40,54,0,119,0,119,41,49,0,119,41,49
1400000US53033027900,53033027900,"Census Tract 279, King County, Washington",5615,351,4473,430,78,76,184,267,366,168,79,98,129,134,306,156,52,58,254,137
1400000US53033028000,53033028000,"Census Tract 280, King County, Washington",3851,403,2016,291,618,204,15,23,199,162,23,27,761,457,219,115,19,34,200,112
1400000US53033028100,53033028100,"Census Tract 281, King County, Washington",2012,314,1009,273,480,194,46,74,293,165,104,140,0,119,80,95,0,119,80,95
1400000US53033028200,53033028200,"Census Tract 282, King County, Washington",3880,400,1929,335,1027,295,0,119,424,156,124,115,163,154,213,135,27,30,186,128
1400000US53033028300,53033028300,"Census Tract 283, King County, Washington",3776,356,2252,355,396,296,33,40,690,228,12,22,205,182,188,191,0,119,188,191
1400000US53033028402,53033028402,"Census Tract 284.02, King County, Washington",4421,546,2094,382,786,332,43,48,471,212,0,119,771,480,256,133,39,51,217,116
1400000US53033028403,53033028403,"Census Tract 284.03, King County, Washington",4849,516,3338,387,561,287,0,119,307,291,362,315,121,98,160,146,0,119,160,146
1400000US53033028500,53033028500,"Census Tract 285, King County, Washington",3581,317,2834,326,63,79,7,11,307,157,60,83,69,72,241,184,6,10,235,188
1400000US53033028600,53033028600,"Census Tract 286, King County, Washington",6072,219,5415,252,59,94,0,119,387,139,0,119,27,40,184,127,0,119,184,127
1400000US53033028700,53033028700,"Census Tract 287, King County, Washington",5524,504,4051,474,322,416,61,71,612,512,55,43,199,117,224,127,16,28,208,114
1400000US53033028801,53033028801,"Census Tract 288.01, King County, Washington",3448,562,2364,514,273,257,82,60,90,74,0,119,543,452,96,129,9,15,87,129
1400000US53033028802,53033028802,"Census Tract 288.02, King County, Washington",6233,695,3372,720,1162,477,349,359,947,543,0,119,210,250,193,176,82,133,111,113
1400000US53033028901,53033028901,"Census Tract 289.01, King County, Washington",3022,262,2368,309,187,146,0,119,174,158,136,89,42,68,115,81,0,119,115,81
1400000US53033028902,53033028902,"Census Tract 289.02, King County, Washington",5366,610,2965,510,705,277,69,69,577,298,155,211,519,377,376,198,7,12,369,198
1400000US53033029001,53033029001,"Census Tract 290.01, King County, Washington",4624,957,3670,988,176,220,9,14,428,220,0,119,175,210,166,98,0,119,166,98
1400000US53033029003,53033029003,"Census Tract 290.03, King County, Washington",5619,735,3232,595,1303,387,175,136,649,293,0,119,0,119,260,183,0,119,260,183
1400000US53033029004,53033029004,"Census Tract 290.04, King County, Washington",3516,351,1922,460,352,130,10,15,256,134,152,176,592,349,232,153,113,132,119,109
1400000US53033029100,53033029100,"Census Tract 291, King County, Washington",5754,470,3830,386,614,328,29,35,694,289,68,57,353,236,166,99,0,119,166,99
1400000US53033029201,53033029201,"Census Tract 292.01, King County, Washington",8542,675,5928,605,544,270,36,59,977,319,0,119,535,352,522,355,82,77,440,340
1400000US53033029203,53033029203,"Census Tract 292.03, King County, Washington",2431,207,1648,247,147,128,0,119,150,102,113,128,179,110,194,99,0,119,194,99
1400000US53033029204,53033029204,"Census Tract 292.04, King County, Washington",5879,528,3154,493,1053,571,33,58,953,238,162,158,317,302,207,112,0,119,207,112
1400000US53033029303,53033029303,"Census Tract 293.03, King County, Washington",6766,571,3729,442,838,238,32,53,1831,445,0,119,119,106,217,138,24,39,193,123
1400000US53033029304,53033029304,"Census Tract 293.04, King County, Washington",4456,267,3426,276,94,65,0,119,786,195,0,119,16,25,134,77,0,119,134,77
1400000US53033029305,53033029305,"Census Tract 293.05, King County, Washington",3950,317,2505,318,236,188,11,13,1098,241,62,103,16,19,22,35,0,119,22,35
1400000US53033029306,53033029306,"Census Tract 293.06, King County, Washington",3448,280,2140,235,138,147,63,90,702,385,0,119,294,389,111,82,0,119,111,82
1400000US53033029307,53033029307,"Census Tract 293.07, King County, Washington",3741,367,2970,314,116,105,0,119,486,165,0,119,0,119,169,122,32,50,137,113
1400000US53033029403,53033029403,"Census Tract 294.03, King County, Washington",5587,431,2998,425,748,210,0,119,1213,271,0,119,493,268,135,91,0,119,135,91
1400000US53033029405,53033029405,"Census Tract 294.05, King County, Washington",5944,269,3278,341,654,247,36,53,771,280,231,183,444,231,530,227,46,68,484,211
1400000US53033029406,53033029406,"Census Tract 294.06, King County, Washington",4523,380,2540,398,420,348,22,24,1090,263,33,53,227,164,191,100,10,16,181,99
1400000US53033029407,53033029407,"Census Tract 294.07, King County, Washington",4694,498,2871,490,493,234,24,28,603,239,118,120,387,126,198,140,114,122,84,66
1400000US53033029408,53033029408,"Census Tract 294.08, King County, Washington",4436,363,2198,349,372,275,0,119,1063,377,50,70,592,357,161,156,0,119,161,156
1400000US53033029502,53033029502,"Census Tract 295.02, King County, Washington",6135,585,3673,396,347,159,61,98,1583,500,53,91,240,185,178,92,0,119,178,92
1400000US53033029503,53033029503,"Census Tract 295.03, King County, Washington",7623,676,4236,739,1043,546,40,58,1528,622,0,119,473,346,303,186,41,48,262,177
