GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Median value (dollars),Margin of Error; Median value (dollars)
1400000US53033021905,53033021905,"Census Tract 219.05, King County, Washington",336600,19261
1400000US53033021906,53033021906,"Census Tract 219.06, King County, Washington",339400,42411
1400000US53033022001,53033022001,"Census Tract 220.01, King County, Washington",453100,25164
1400000US53033022003,53033022003,"Census Tract 220.03, King County, Washington",367600,15775
1400000US53033022005,53033022005,"Census Tract 220.05, King County, Washington",309900,44135
1400000US53033022006,53033022006,"Census Tract 220.06, King County, Washington",334600,21956
1400000US53033022101,53033022101,"Census Tract 221.01, King County, Washington",434500,27447
1400000US53033022102,53033022102,"Census Tract 221.02, King County, Washington",408700,39298
1400000US53033022201,53033022201,"Census Tract 222.01, King County, Washington",361800,13116
1400000US53033022202,53033022202,"Census Tract 222.02, King County, Washington",387000,30377
1400000US53033022203,53033022203,"Census Tract 222.03, King County, Washington",491500,35651
1400000US53033022300,53033022300,"Census Tract 223, King County, Washington",695200,51423
1400000US53033022400,53033022400,"Census Tract 224, King County, Washington",694400,49090
1400000US53033022500,53033022500,"Census Tract 225, King County, Washington",537100,43925
1400000US53033022603,53033022603,"Census Tract 226.03, King County, Washington",438900,36538
1400000US53033022604,53033022604,"Census Tract 226.04, King County, Washington",455600,31894
1400000US53033022605,53033022605,"Census Tract 226.05, King County, Washington",444100,47022
1400000US53033022606,53033022606,"Census Tract 226.06, King County, Washington",374700,33684
1400000US53033022701,53033022701,"Census Tract 227.01, King County, Washington",722900,114428
1400000US53033022702,53033022702,"Census Tract 227.02, King County, Washington",764600,52696
1400000US53033022703,53033022703,"Census Tract 227.03, King County, Washington",595600,58965
1400000US53033022801,53033022801,"Census Tract 228.01, King County, Washington",549000,406555
1400000US53033022802,53033022802,"Census Tract 228.02, King County, Washington",387500,34847
1400000US53033022803,53033022803,"Census Tract 228.03, King County, Washington",599100,40567
1400000US53033022901,53033022901,"Census Tract 229.01, King County, Washington",507800,45507
1400000US53033022902,53033022902,"Census Tract 229.02, King County, Washington",516700,35835
1400000US53033023000,53033023000,"Census Tract 230, King County, Washington",563600,32382
1400000US53033023100,53033023100,"Census Tract 231, King County, Washington",465300,36554
1400000US53033023201,53033023201,"Census Tract 232.01, King County, Washington",406400,58505
1400000US53033023202,53033023202,"Census Tract 232.02, King County, Washington",379800,27635
1400000US53033023300,53033023300,"Census Tract 233, King County, Washington",422900,15758
1400000US53033023401,53033023401,"Census Tract 234.01, King County, Washington",393500,25843
1400000US53033023402,53033023402,"Census Tract 234.02, King County, Washington",523900,42217
1400000US53033023500,53033023500,"Census Tract 235, King County, Washington",555100,37736
1400000US53033023601,53033023601,"Census Tract 236.01, King County, Washington",474800,49272
1400000US53033023603,53033023603,"Census Tract 236.03, King County, Washington",448800,43033
1400000US53033023604,53033023604,"Census Tract 236.04, King County, Washington",448700,44925
1400000US53033023700,53033023700,"Census Tract 237, King County, Washington",640400,50356
1400000US53033023801,53033023801,"Census Tract 238.01, King County, Washington",461100,129436
1400000US53033023802,53033023802,"Census Tract 238.02, King County, Washington",444800,71261
1400000US53033023900,53033023900,"Census Tract 239, King County, Washington",862900,62335
1400000US53033024000,53033024000,"Census Tract 240, King County, Washington",684100,55786
1400000US53033024100,53033024100,"Census Tract 241, King County, Washington","1,000,000+",***
1400000US53033024200,53033024200,"Census Tract 242, King County, Washington","1,000,000+",***
1400000US53033024300,53033024300,"Census Tract 243, King County, Washington",777400,71397
1400000US53033024400,53033024400,"Census Tract 244, King County, Washington",736100,103525
1400000US53033024500,53033024500,"Census Tract 245, King County, Washington",860700,45180
1400000US53033024601,53033024601,"Census Tract 246.01, King County, Washington",951100,65006
1400000US53033024602,53033024602,"Census Tract 246.02, King County, Washington",994200,37671
1400000US53033024701,53033024701,"Census Tract 247.01, King County, Washington",438900,29612
1400000US53033024702,53033024702,"Census Tract 247.02, King County, Washington",540100,38259
1400000US53033024800,53033024800,"Census Tract 248, King County, Washington",362400,27887
1400000US53033024901,53033024901,"Census Tract 249.01, King County, Washington",657900,27862
1400000US53033024902,53033024902,"Census Tract 249.02, King County, Washington",567000,25874
1400000US53033024903,53033024903,"Census Tract 249.03, King County, Washington",672600,28535
1400000US53033025001,53033025001,"Census Tract 250.01, King County, Washington",503300,33889
1400000US53033025003,53033025003,"Census Tract 250.03, King County, Washington",756000,58787
1400000US53033025004,53033025004,"Census Tract 250.04, King County, Washington",630100,44160
1400000US53033025101,53033025101,"Census Tract 251.01, King County, Washington",397900,28879
1400000US53033025102,53033025102,"Census Tract 251.02, King County, Washington",401200,27908
1400000US53033025200,53033025200,"Census Tract 252, King County, Washington",331000,19535
1400000US53033025300,53033025300,"Census Tract 253, King County, Washington",352400,35801
1400000US53033025400,53033025400,"Census Tract 254, King County, Washington",242900,17925
1400000US53033025500,53033025500,"Census Tract 255, King County, Washington",262700,26590
1400000US53033025600,53033025600,"Census Tract 256, King County, Washington",351800,11138
1400000US53033025701,53033025701,"Census Tract 257.01, King County, Washington",317400,27490
1400000US53033025702,53033025702,"Census Tract 257.02, King County, Washington",305900,25007
1400000US53033025801,53033025801,"Census Tract 258.01, King County, Washington",327700,20262
1400000US53033025803,53033025803,"Census Tract 258.03, King County, Washington",235200,24350
1400000US53033025804,53033025804,"Census Tract 258.04, King County, Washington",295100,19826
1400000US53033026001,53033026001,"Census Tract 260.01, King County, Washington",368100,21858
1400000US53033026002,53033026002,"Census Tract 260.02, King County, Washington",340000,20042
1400000US53033026100,53033026100,"Census Tract 261, King County, Washington",279200,47248
1400000US53033026200,53033026200,"Census Tract 262, King County, Washington",236000,25338
1400000US53033026300,53033026300,"Census Tract 263, King County, Washington",271000,42833
1400000US53033026400,53033026400,"Census Tract 264, King County, Washington",236900,32717
